census_tract,Place Type,count_of_Active_PlaceStatus
17031250400,Social Services & Political Advocacy,1
17031250400,Trade Service,8
17031250400,"Wholesale, Storage and Transportation",5
17031250500,Arts and Entertainment,1
17031250500,Childcare and Schools,6
17031250500,Dining,12
17031250500,"Financial, Insurance, Real Estate, Legal, and Professional",19
17031250500,Health Services,10
17031250500,Industrial,3
17031250500,Personal Service,11
17031250500,Public Services,2
17031250500,Religious (except school or residence),4
17031250500,Retail,10
17031250500,Service or Programmed Residential Space,1
17031250500,Social Services & Political Advocacy,1
17031250500,Trade Service,14
17031250500,"Wholesale, Storage and Transportation",2
17031250600,Arts and Entertainment,1
17031250600,Childcare and Schools,6
17031250600,Dining,5
17031250600,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031250600,Personal Service,7
17031250600,Religious (except school or residence),11
17031250600,Retail,10
17031250600,Social Services & Political Advocacy,3
17031250600,Trade Service,6
17031250700,Arts and Entertainment,1
17031250700,Childcare and Schools,2
17031250700,Dining,4
17031250700,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031250700,Health Services,2
17031250700,Personal Service,11
17031250700,Religious (except school or residence),8
17031250700,Retail,10
17031250700,Trade Service,1
17031250800,Childcare and Schools,2
17031250800,Dining,4
17031250800,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031250800,Fitness,1
17031250800,Industrial,3
17031250800,Personal Service,3
17031250800,Public Services,1
17031250800,Religious (except school or residence),1
17031250800,Retail,17
17031250800,Trade Service,4
17031250800,"Wholesale, Storage and Transportation",1
17031251000,Arts and Entertainment,1
17031251000,Childcare and Schools,1
17031251000,Health Services,2
17031251000,Industrial,6
17031251000,Personal Service,1
17031251000,Public Services,2
17031251000,Religious (except school or residence),2
17031251000,Retail,5
17031251000,Trade Service,13
17031251000,"Wholesale, Storage and Transportation",1
17031251100,Childcare and Schools,1
17031251100,Health Services,6
17031251100,Other,1
17031251100,Personal Service,4
17031251100,Public Services,1
17031251100,Religious (except school or residence),4
17031251100,Retail,9
17031251100,Service or Programmed Residential Space,2
17031251100,Social Services & Political Advocacy,3
17031251100,Trade Service,1
17031251200,Childcare and Schools,5
17031251200,Dining,1
17031251200,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031251200,Personal Service,3
17031251200,Religious (except school or residence),4
17031251200,Retail,7
17031251200,Social Services & Political Advocacy,1
17031251200,Trade Service,2
17031251300,Childcare and Schools,6
17031251300,Dining,9
17031251300,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031251300,Fitness,1
17031251300,Personal Service,3
17031251300,Religious (except school or residence),13
17031251300,Retail,7
17031251300,Service or Programmed Residential Space,1
17031251300,Social Services & Political Advocacy,2
17031251300,"Wholesale, Storage and Transportation",3
17031251400,Arts and Entertainment,1
17031251400,Childcare and Schools,9
17031251400,Dining,3
17031251400,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031251400,Fitness,1
17031251400,Personal Service,6
17031251400,Public Services,1
17031251400,Religious (except school or residence),11
17031251400,Retail,5
17031251400,Service or Programmed Residential Space,1
17031251400,Social Services & Political Advocacy,5
17031251400,Trade Service,3
17031251500,Childcare and Schools,7
17031251500,Dining,3
17031251500,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031251500,Other,2
17031251500,Personal Service,5
17031251500,Religious (except school or residence),5
17031251500,Retail,4
17031251500,Service or Programmed Residential Space,2
17031251500,Social Services & Political Advocacy,3
17031251500,Trade Service,1
17031251600,Childcare and Schools,2
17031251600,Dining,1
17031251600,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031251600,Religious (except school or residence),8
17031251600,Retail,4
17031251600,Service or Programmed Residential Space,1
17031251600,Social Services & Political Advocacy,2
17031251700,Childcare and Schools,3
17031251700,Dining,3
17031251700,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031251700,Industrial,2
17031251700,Personal Service,2
17031251700,Religious (except school or residence),2
17031251700,Retail,11
17031251700,Social Services & Political Advocacy,1
17031251700,Trade Service,5
17031251700,"Wholesale, Storage and Transportation",2
17031251800,Childcare and Schools,4
17031251800,Dining,3
17031251800,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031251800,Health Services,2
17031251800,Industrial,3
17031251800,Personal Service,8
17031251800,Religious (except school or residence),13
17031251800,Retail,12
17031251800,Service or Programmed Residential Space,1
17031251800,Social Services & Political Advocacy,4
17031251800,Trade Service,5
17031251800,"Wholesale, Storage and Transportation",2
17031251900,Arts and Entertainment,1
17031251900,Childcare and Schools,1
17031251900,Dining,3
17031251900,Health Services,3
17031251900,Other,1
17031251900,Religious (except school or residence),6
17031251900,Retail,6
17031251900,Trade Service,2
17031252000,Arts and Entertainment,1
17031252000,Childcare and Schools,7
17031252000,Dining,3
17031252000,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031252000,Health Services,2
17031252000,Personal Service,6
17031252000,Religious (except school or residence),6
17031252000,Retail,6
17031252000,Service or Programmed Residential Space,3
17031252000,Social Services & Political Advocacy,4
17031252000,Trade Service,5
17031252101,Arts and Entertainment,2
17031252101,Childcare and Schools,1
17031252101,Dining,3
17031252101,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031252101,Fitness,1
17031252101,Personal Service,1
17031252101,Public Services,1
17031252101,Religious (except school or residence),3
17031252101,Retail,4
17031252101,Trade Service,4
17031252102,Arts and Entertainment,2
17031252102,Childcare and Schools,2
17031252102,Dining,7
17031252102,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031252102,Health Services,2
17031252102,Personal Service,9
17031252102,Public Services,2
17031252102,Religious (except school or residence),8
17031252102,Retail,12
17031252102,Trade Service,3
17031252201,Childcare and Schools,5
17031252201,Dining,2
17031252201,Fitness,1
17031252201,Health Services,3
17031252201,Industrial,1
17031252201,Personal Service,2
17031252201,Religious (except school or residence),3
17031252201,Retail,2
17031252201,Social Services & Political Advocacy,3
17031252201,Trade Service,2
17031252202,Childcare and Schools,1
17031252202,Dining,5
17031252202,Health Services,2
17031252202,Industrial,1
17031252202,Religious (except school or residence),6
17031252202,Retail,5
17031252202,Service or Programmed Residential Space,4
17031252202,Trade Service,6
17031260100,Childcare and Schools,1
17031260100,Dining,2
17031260100,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031260100,Health Services,2
17031260100,Industrial,1
17031260100,Personal Service,3
17031260100,Religious (except school or residence),2
17031260100,Retail,15
17031260100,Service or Programmed Residential Space,1
17031260100,Social Services & Political Advocacy,2
17031260100,Trade Service,7
17031260100,"Wholesale, Storage and Transportation",2
17031260200,Childcare and Schools,1
17031260200,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031260200,Health Services,1
17031260200,Industrial,5
17031260200,Personal Service,1
17031260200,Public Services,1
17031260200,Religious (except school or residence),2
17031260200,Retail,15
17031260200,Social Services & Political Advocacy,1
17031260200,Trade Service,3
17031260300,Arts and Entertainment,1
17031260300,Childcare and Schools,2
17031260300,Dining,1
17031260300,Industrial,5
17031260300,Personal Service,1
17031260300,Public Services,1
17031260300,Religious (except school or residence),8
17031260300,Retail,2
17031260300,Service or Programmed Residential Space,2
17031260300,Social Services & Political Advocacy,1
17031260300,Trade Service,4
17031260300,"Wholesale, Storage and Transportation",2
17031260400,Arts and Entertainment,1
17031260400,Dining,1
17031260400,Industrial,5
17031260400,Personal Service,1
17031260400,Religious (except school or residence),3
17031260400,Retail,1
17031260400,Service or Programmed Residential Space,1
17031260400,Social Services & Political Advocacy,2
17031260400,Trade Service,4
17031260500,Dining,1
17031260500,Industrial,2
17031260500,Religious (except school or residence),4
17031260500,Retail,6
17031260500,Trade Service,1
17031260500,"Wholesale, Storage and Transportation",1
17031260600,Dining,1
17031260600,Personal Service,1
17031260600,Religious (except school or residence),2
17031260600,Retail,3
17031260600,Trade Service,1
17031260700,Childcare and Schools,1
17031260700,Dining,1
17031260700,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031260700,Health Services,1
17031260700,Personal Service,2
17031260700,Religious (except school or residence),6
17031260700,Retail,14
17031260700,Trade Service,1
17031260700,"Wholesale, Storage and Transportation",1
17031260800,Dining,2
17031260800,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031260800,Personal Service,2
17031260800,Public Services,1
17031260800,Religious (except school or residence),2
17031260800,Retail,20
17031260800,Trade Service,1
17031260900,Dining,1
17031260900,Health Services,2
17031260900,Personal Service,1
17031260900,Religious (except school or residence),4
17031260900,Retail,5
17031260900,Social Services & Political Advocacy,1
17031260900,Trade Service,1
17031260900,"Wholesale, Storage and Transportation",1
17031261000,Arts and Entertainment,1
17031261000,Childcare and Schools,4
17031261000,Personal Service,1
17031261000,Religious (except school or residence),1
17031261000,Social Services & Political Advocacy,1
17031261000,Trade Service,8
17031261000,"Wholesale, Storage and Transportation",1
17031270500,Childcare and Schools,2
17031270500,Retail,1
17031270500,Service or Programmed Residential Space,2
17031271200,Childcare and Schools,2
17031271200,Dining,2
17031271200,Health Services,1
17031271200,Personal Service,1
17031271200,Religious (except school or residence),5
17031271200,Retail,5
17031271200,Service or Programmed Residential Space,1
17031271200,Social Services & Political Advocacy,2
17031271300,Childcare and Schools,3
17031271300,Religious (except school or residence),1
17031271300,Social Services & Political Advocacy,1
17031271300,Trade Service,1
17031271400,Childcare and Schools,2
17031271400,Dining,2
17031271400,Fitness,1
17031271400,Health Services,2
17031271400,Personal Service,1
17031271400,Religious (except school or residence),2
17031271400,Social Services & Political Advocacy,1
17031271400,Trade Service,1
17031271500,Religious (except school or residence),2
17031271500,Retail,1
17031271500,Trade Service,1
17031271800,Childcare and Schools,2
17031271800,Dining,1
17031271800,Health Services,1
17031271800,Religious (except school or residence),5
17031271800,Retail,3
17031271800,Trade Service,3
17031271800,"Wholesale, Storage and Transportation",1
17031280100,Arts and Entertainment,2
17031280100,Childcare and Schools,1
17031280100,Dining,36
17031280100,"Financial, Insurance, Real Estate, Legal, and Professional",10
17031280100,Fitness,1
17031280100,Health Services,5
17031280100,Personal Service,2
17031280100,Retail,7
17031280100,Service or Programmed Residential Space,1
17031280100,Social Services & Political Advocacy,3
17031280100,Trade Service,8
17031280400,Arts and Entertainment,4
17031280400,Childcare and Schools,4
17031280400,Dining,3
17031280400,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031280400,Fitness,1
17031280400,Health Services,5
17031280400,Industrial,9
17031280400,Personal Service,1
17031280400,Religious (except school or residence),1
17031280400,Retail,5
17031280400,Social Services & Political Advocacy,3
17031280400,Trade Service,23
17031280400,"Wholesale, Storage and Transportation",6
17031280800,Childcare and Schools,1
17031280800,Dining,1
17031280800,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031280800,Personal Service,2
17031280800,Public Services,1
17031280800,Religious (except school or residence),1
17031280800,Retail,5
17031280800,Social Services & Political Advocacy,1
17031280900,Dining,3
17031280900,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031280900,Personal Service,2
17031280900,Religious (except school or residence),3
17031280900,Retail,5
17031281900,Arts and Entertainment,1
17031281900,Childcare and Schools,1
17031281900,Dining,5
17031281900,"Financial, Insurance, Real Estate, Legal, and Professional",13
17031281900,Fitness,1
17031281900,Health Services,5
17031281900,Other,1
17031281900,Personal Service,2
17031281900,Religious (except school or residence),1
17031281900,Retail,4
17031281900,Social Services & Political Advocacy,3
17031281900,Trade Service,5
17031282700,Arts and Entertainment,1
17031282700,Dining,4
17031282700,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031282700,Health Services,1
17031282700,Industrial,1
17031282700,Personal Service,1
17031282700,Retail,5
17031282700,Service or Programmed Residential Space,1
17031282700,Social Services & Political Advocacy,2
17031282700,Trade Service,4
17031282700,"Wholesale, Storage and Transportation",1
17031282800,Childcare and Schools,1
17031282800,Dining,7
17031282800,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031282800,Fitness,1
17031282800,Health Services,2
17031282800,Personal Service,9
17031282800,Religious (except school or residence),1
17031282800,Retail,3
17031282800,Social Services & Political Advocacy,4
17031282800,Trade Service,4
17031283100,Childcare and Schools,2
17031283100,Dining,22
17031283100,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031283100,Health Services,1
17031283100,Personal Service,2
17031283100,Retail,5
17031283100,Service or Programmed Residential Space,2
17031283100,Trade Service,2
17031283200,Dining,12
17031283200,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031283200,Health Services,6
17031283200,Public Services,1
17031283200,Retail,3
17031283200,Service or Programmed Residential Space,1
17031283200,Trade Service,1
17031283200,"Wholesale, Storage and Transportation",1
17031283800,Arts and Entertainment,2
17031283800,Childcare and Schools,2
17031283800,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031283800,Fitness,1
17031283800,Other,1
17031283800,Personal Service,1
17031283800,Public Services,1
17031283800,Service or Programmed Residential Space,1
17031283800,Trade Service,1
17031283800,"Wholesale, Storage and Transportation",1
17031290900,Childcare and Schools,4
17031290900,Dining,1
17031290900,Fitness,1
17031290900,Health Services,1
17031290900,Industrial,3
17031290900,Personal Service,1
17031290900,Public Services,1
17031290900,Religious (except school or residence),21
17031290900,Retail,3
17031290900,Service or Programmed Residential Space,1
17031290900,Social Services & Political Advocacy,1
17031290900,Trade Service,8
17031290900,"Wholesale, Storage and Transportation",1
17031291200,Childcare and Schools,2
17031291200,Dining,1
17031291200,Personal Service,1
17031291200,Religious (except school or residence),6
17031291200,Retail,2
17031291200,Social Services & Political Advocacy,1
17031291600,Industrial,2
17031292200,Childcare and Schools,3
17031292200,Dining,3
17031292200,Health Services,1
17031292200,Other,1
17031292200,Public Services,1
17031292200,Religious (except school or residence),3
17031292200,Retail,1
17031292200,Trade Service,4
17031292400,Childcare and Schools,1
17031292400,Dining,4
17031292400,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031292400,Health Services,4
17031292400,Personal Service,5
17031292400,Public Services,2
17031292400,Religious (except school or residence),4
17031292400,Retail,2
17031292400,Social Services & Political Advocacy,4
17031292500,Childcare and Schools,3
17031292500,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031292500,Industrial,11
17031292500,Other,1
17031292500,Religious (except school or residence),11
17031292500,Retail,6
17031292500,Service or Programmed Residential Space,1
17031292500,Trade Service,9
17031292500,"Wholesale, Storage and Transportation",4
17031300900,Childcare and Schools,1
17031300900,Dining,1
17031300900,Personal Service,1
17031300900,Retail,1
17031301100,Childcare and Schools,2
17031301100,Religious (except school or residence),1
17031301100,Retail,1
17031301200,Childcare and Schools,1
17031301200,Fitness,1
17031301200,Industrial,1
17031301200,Public Services,1
17031301200,Trade Service,1
17031301803,Trade Service,1
17031310200,Arts and Entertainment,3
17031310200,Dining,4
17031310200,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031310200,Fitness,2
17031310200,Personal Service,1
17031310200,Religious (except school or residence),1
17031310200,Retail,8
17031310200,Trade Service,5
17031310300,Arts and Entertainment,1
17031310300,Childcare and Schools,3
17031310300,Dining,5
17031310300,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031310300,Fitness,1
17031310300,Health Services,2
17031310300,Personal Service,8
17031310300,Retail,3
17031310300,Service or Programmed Residential Space,1
17031310300,Trade Service,4
17031310300,"Wholesale, Storage and Transportation",3
17031310400,Childcare and Schools,1
17031310400,Dining,1
17031310400,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031310400,Personal Service,2
17031310400,Retail,6
17031310400,Trade Service,4
17031310500,Arts and Entertainment,2
17031310500,Childcare and Schools,1
17031310500,Dining,5
17031310500,Fitness,1
17031310500,Health Services,1
17031310500,Industrial,2
17031310500,Personal Service,3
17031310500,Retail,8
17031310500,Social Services & Political Advocacy,5
17031310500,Trade Service,7
17031310500,"Wholesale, Storage and Transportation",1
17031310600,Arts and Entertainment,3
17031310600,Childcare and Schools,5
17031310600,Dining,26
17031310600,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031310600,Fitness,1
17031310600,Health Services,3
17031310600,Industrial,3
17031310600,Personal Service,9
17031310600,Public Services,2
17031310600,Religious (except school or residence),3
17031310600,Retail,21
17031310600,Social Services & Political Advocacy,3
17031310600,Trade Service,6
17031310600,"Wholesale, Storage and Transportation",3
17031310700,Arts and Entertainment,2
17031310700,Childcare and Schools,3
17031310700,Dining,7
17031310700,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031310700,Other,1
17031310700,Personal Service,3
17031310700,Public Services,1
17031310700,Religious (except school or residence),1
17031310700,Retail,7
17031310700,Service or Programmed Residential Space,1
17031310700,Social Services & Political Advocacy,1
17031310700,Trade Service,1
17031310700,"Wholesale, Storage and Transportation",1
17031310800,Arts and Entertainment,5
17031310800,Childcare and Schools,2
17031310800,Dining,14
17031310800,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031310800,Health Services,5
17031310800,Personal Service,8
17031310800,Religious (except school or residence),3
17031310800,Retail,13
17031310800,Social Services & Political Advocacy,5
17031310800,Trade Service,9
17031310800,"Wholesale, Storage and Transportation",2
17031310900,Arts and Entertainment,2
17031310900,Childcare and Schools,2
17031310900,Dining,9
17031310900,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031310900,Fitness,1
17031310900,Health Services,4
17031310900,Personal Service,6
17031310900,Public Services,2
17031310900,Retail,3
17031310900,Social Services & Political Advocacy,3
17031310900,Trade Service,8
17031310900,"Wholesale, Storage and Transportation",2
17031320400,"Wholesale, Storage and Transportation",1
17031320600,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031330200,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031340300,Childcare and Schools,1
17031340300,Dining,3
17031340300,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031340300,Personal Service,3
17031340400,Arts and Entertainment,3
17031340400,Dining,9
17031340400,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031340400,Personal Service,2
17031340400,Religious (except school or residence),3
17031340400,Retail,10
17031340400,Social Services & Political Advocacy,1
17031340400,Trade Service,3
17031340400,"Wholesale, Storage and Transportation",1
17031340500,Childcare and Schools,2
17031340500,Dining,6
17031340500,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031340500,Other,1
17031340500,Personal Service,1
17031340500,Retail,1
17031340500,Service or Programmed Residential Space,3
17031340500,Trade Service,5
17031340500,Unknown,1
17031340600,Arts and Entertainment,1
17031340600,Childcare and Schools,1
17031340600,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031340600,Fitness,1
17031340600,Religious (except school or residence),1
17031340600,Retail,1
17031340600,Service or Programmed Residential Space,2
17031340600,Social Services & Political Advocacy,1
17031350100,Personal Service,1
17031350100,Social Services & Political Advocacy,1
17031350400,Childcare and Schools,3
17031350400,Fitness,1
17031350400,Service or Programmed Residential Space,1
17031351000,Arts and Entertainment,2
17031351000,Dining,6
17031351000,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031351000,Fitness,2
17031351000,Personal Service,1
17031351000,Religious (except school or residence),1
17031351000,Retail,5
17031351000,Trade Service,3
17031351100,Childcare and Schools,2
17031351100,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031351100,Health Services,1
17031351100,Personal Service,1
17031351100,Public Services,1
17031351100,Retail,1
17031351100,Service or Programmed Residential Space,2
17031351100,Social Services & Political Advocacy,1
17031351400,Arts and Entertainment,1
17031351400,Childcare and Schools,2
17031351400,Dining,4
17031351400,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031351400,Fitness,1
17031351400,Health Services,1
17031351400,Other,1
17031351400,Personal Service,4
17031351400,Public Services,3
17031351400,Religious (except school or residence),4
17031351400,Retail,2
17031351400,Trade Service,1
17031351500,Dining,2
17031351500,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031351500,Trade Service,1
17031360200,Childcare and Schools,1
17031360200,Personal Service,1
17031360200,Religious (except school or residence),1
17031380100,Childcare and Schools,5
17031380100,Dining,4
17031380100,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031380100,Fitness,1
17031380100,Other,1
17031380100,Personal Service,6
17031380100,Religious (except school or residence),8
17031380100,Retail,2
17031380100,Service or Programmed Residential Space,1
17031380100,Social Services & Political Advocacy,2
17031380100,Trade Service,2
17031380200,Childcare and Schools,1
17031380200,Dining,2
17031380200,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031380200,Personal Service,1
17031380200,Religious (except school or residence),1
17031380200,Retail,5
17031380200,Service or Programmed Residential Space,2
17031380200,Social Services & Political Advocacy,2
17031380600,Childcare and Schools,6
17031380600,Dining,1
17031380600,Other,1
17031380600,Personal Service,1
17031380600,Public Services,1
17031380600,Religious (except school or residence),10
17031380600,Retail,1
17031380600,Service or Programmed Residential Space,8
17031380600,Social Services & Political Advocacy,2
17031380600,Trade Service,3
17031380600,"Wholesale, Storage and Transportation",3
17031381200,Arts and Entertainment,4
17031381200,Dining,4
17031381200,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031381200,Health Services,1
17031381200,Personal Service,7
17031381200,Religious (except school or residence),2
17031381200,Retail,4
17031381200,Service or Programmed Residential Space,1
17031381200,Social Services & Political Advocacy,1
17031381200,"Wholesale, Storage and Transportation",1
17031381400,Childcare and Schools,2
17031381400,Dining,4
17031381400,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031381400,Other,1
17031381400,Personal Service,3
17031381400,Public Services,1
17031381400,Religious (except school or residence),6
17031381400,Retail,11
17031381400,Social Services & Political Advocacy,1
17031381500,Dining,3
17031381500,Industrial,1
17031381500,Religious (except school or residence),2
17031381500,Retail,5
17031381500,Service or Programmed Residential Space,1
17031381700,Childcare and Schools,2
17031381700,Fitness,1
17031381700,Health Services,2
17031381700,Personal Service,1
17031381700,Public Services,1
17031381700,Retail,1
17031381700,Trade Service,1
17031381700,"Wholesale, Storage and Transportation",1
17031381800,Childcare and Schools,5
17031381800,Dining,2
17031381800,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031381800,Health Services,1
17031381800,Personal Service,2
17031381800,Public Services,1
17031381800,Religious (except school or residence),4
17031381800,Retail,1
17031381800,Service or Programmed Residential Space,3
17031381800,Social Services & Political Advocacy,1
17031381800,Trade Service,1
17031381900,Arts and Entertainment,1
17031381900,Childcare and Schools,1
17031381900,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031381900,Health Services,2
17031381900,Personal Service,1
17031381900,Religious (except school or residence),3
17031381900,Service or Programmed Residential Space,3
17031381900,Social Services & Political Advocacy,2
17031390100,Dining,6
17031390100,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031390100,Fitness,1
17031390100,Health Services,1
17031390100,Personal Service,4
17031390100,Retail,6
17031390200,Arts and Entertainment,1
17031390200,Childcare and Schools,3
17031390200,Dining,2
17031390200,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031390200,Personal Service,3
17031390200,Religious (except school or residence),2
17031390200,Retail,3
17031390300,Arts and Entertainment,1
17031390300,Childcare and Schools,1
17031390300,Dining,4
17031390300,Personal Service,3
17031390300,Public Services,1
17031390300,Religious (except school or residence),3
17031390300,Retail,1
17031390300,Service or Programmed Residential Space,2
17031390300,Social Services & Political Advocacy,1
17031390300,Trade Service,1
17031390400,Childcare and Schools,2
17031390400,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031390400,Health Services,1
17031390400,Other,1
17031390400,Personal Service,2
17031390400,Religious (except school or residence),1
17031390400,Retail,1
17031390400,Service or Programmed Residential Space,2
17031390400,Social Services & Political Advocacy,1
17031390400,Trade Service,2
17031390500,Arts and Entertainment,1
17031390500,Health Services,2
17031390500,Religious (except school or residence),1
17031390600,Childcare and Schools,1
17031390600,Fitness,3
17031390600,Health Services,1
17031390700,Public Services,1
17031400300,Arts and Entertainment,2
17031400300,Childcare and Schools,2
17031400300,Fitness,2
17031400300,Health Services,1
17031400300,Religious (except school or residence),1
17031400300,Retail,2
17031400300,Service or Programmed Residential Space,1
17031400300,Social Services & Political Advocacy,1
17031400300,"Wholesale, Storage and Transportation",1
17031400400,Arts and Entertainment,2
17031400400,Dining,1
17031400400,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031400400,Religious (except school or residence),4
17031400400,Retail,3
17031400400,Social Services & Political Advocacy,1
17031400400,Trade Service,1
17031400500,Childcare and Schools,2
17031400500,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031400500,Religious (except school or residence),9
17031400500,Retail,1
17031400500,Service or Programmed Residential Space,1
17031400800,Childcare and Schools,2
17031400800,Public Services,1
17031400800,Religious (except school or residence),6
17031400800,Retail,2
17031400800,Service or Programmed Residential Space,2
17031400800,Social Services & Political Advocacy,1
17031400800,Trade Service,3
17031410100,Childcare and Schools,2
17031410100,Dining,2
17031410100,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031410100,Fitness,1
17031410100,Health Services,6
17031410100,Personal Service,9
17031410100,Religious (except school or residence),2
17031410100,Retail,6
17031410100,Service or Programmed Residential Space,1
17031410100,Social Services & Political Advocacy,1
17031410100,Trade Service,4
17031410200,Childcare and Schools,2
17031410200,Health Services,1
17031410200,Service or Programmed Residential Space,3
17031410500,Childcare and Schools,1
17031410500,Dining,2
17031410500,Health Services,1
17031410500,Social Services & Political Advocacy,3
17031410500,"Wholesale, Storage and Transportation",1
17031410600,Arts and Entertainment,3
17031410600,Childcare and Schools,3
17031410600,Dining,3
17031410600,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031410600,Other,1
17031410600,Personal Service,3
17031410600,Public Services,2
17031410600,Religious (except school or residence),7
17031410600,Retail,4
17031410600,Trade Service,1
17031410700,Arts and Entertainment,1
17031410700,Childcare and Schools,4
17031410700,Dining,12
17031410700,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031410700,Fitness,1
17031410700,Health Services,2
17031410700,Other,1
17031410700,Personal Service,6
17031410700,Public Services,2
17031410700,Religious (except school or residence),1
17031410700,Retail,8
17031410700,Service or Programmed Residential Space,3
17031410700,Social Services & Political Advocacy,1
17031410700,Trade Service,4
17031410800,Arts and Entertainment,2
17031410800,Childcare and Schools,6
17031410800,Dining,25
17031410800,"Financial, Insurance, Real Estate, Legal, and Professional",35
17031410800,Fitness,1
17031410800,Health Services,57
17031410800,Other,2
17031410800,Personal Service,10
17031410800,Public Services,3
17031410800,Religious (except school or residence),2
17031410800,Retail,21
17031410800,Service or Programmed Residential Space,3
17031410800,Social Services & Political Advocacy,6
17031410800,Trade Service,10
17031410800,"Wholesale, Storage and Transportation",1
17031410900,Arts and Entertainment,1
17031410900,Childcare and Schools,5
17031410900,Dining,4
17031410900,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031410900,Fitness,3
17031410900,Health Services,2
17031410900,Personal Service,2
17031410900,Religious (except school or residence),5
17031410900,Retail,2
17031410900,Service or Programmed Residential Space,1
17031410900,Social Services & Political Advocacy,2
17031410900,Trade Service,3
17031411000,Arts and Entertainment,5
17031411000,Childcare and Schools,4
17031411000,Dining,7
17031411000,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031411000,Fitness,1
17031411000,Health Services,4
17031411000,Personal Service,7
17031411000,Retail,6
17031411000,Service or Programmed Residential Space,3
17031411000,Trade Service,4
17031411100,Arts and Entertainment,2
17031411100,Childcare and Schools,2
17031411100,Dining,5
17031411100,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031411100,Fitness,2
17031411100,Health Services,9
17031411100,Personal Service,7
17031411100,Public Services,2
17031411100,Retail,2
17031411100,Service or Programmed Residential Space,1
17031411100,Social Services & Political Advocacy,2
17031411100,Trade Service,1
17031411100,"Wholesale, Storage and Transportation",1
17031411200,Arts and Entertainment,1
17031411200,Childcare and Schools,14
17031411200,Dining,7
17031411200,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031411200,Health Services,3
17031411200,Personal Service,1
17031411200,Religious (except school or residence),4
17031411200,Retail,2
17031411200,Service or Programmed Residential Space,1
17031411200,Social Services & Political Advocacy,2
17031411200,Trade Service,1
17031420100,Childcare and Schools,3
17031420100,Dining,1
