Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website,tract_geoid
Sideshow Gallery,2219,N Western Ave,,,Logan Square,Chicago,60647,Active,Arts and Entertainment,Museum,No,2020,,773-276-1300,,POINT(-87.6872916 41.9223025),-87.6872916,41.9223025,,17031221600
Baizaar,2756,N Troy St,1,,Logan Square,Chicago,60647,Active,Retail,Gift-art-ethnic,Yes,2020,,773-771-8465,,POINT(-87.706554 41.931904),-87.706554,41.931904,baizaarjewelry.com,17031220500
Busy Beaver,3407,W Armitage Ave,,,Logan Square,Chicago,60647,Active,Retail,Gift-art-ethnic,No,2020,,773-645-3359,,POINT(-87.712374 41.9171287),-87.712374,41.9171287,busybeaver.net,17031222700
Imprenta Las Americas,3621,W Armitage Ave,,,Logan Square,Chicago,60647,Active,Retail,Gift-art-ethnic,No,2020,,773-227-8462,,POINT(-87.7176377 41.9170611),-87.7176377,41.9170611,,17031222900
Curious Creatures,4131,N Broadway,,,Uptown,Chicago,60613,Active,Retail,Pets,No,2020,,773-698-8333,,POINT(-87.6525138685739 41.9578340343872),-87.65251387,41.95783403,,17031032100
Salon Dog,2542,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Trade Service,Animal care,No,2020,,773-799-8889,salon.dogs@gmail.com,POINT(-87.6918255 41.9250663),-87.6918255,41.9250663,salondog.net,17031830900
Petco Animal Supplies,4840,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Retail,Pets,No,2020,,773-283-1248,,POINT(-87.7281074033632 41.9694379941593),-87.7281074,41.96943799,http://www.petco.com,17031140400
Pet Nap Nifties,2321,N Maplewood Ave,,,Logan Square,Chicago,60647,Out of Business,Retail,Pets,Yes,2020,,312-235-1115,,POINT(-87.691153 41.9239),-87.691153,41.9239,,17031221500
Petsmart,2665,N Elston Ave,,,Logan Square,Chicago,60647,Active,Retail,Pets,No,2020,,773-342-1300,,POINT(-87.6844255 41.9306894),-87.6844255,41.9306894,petsmart.com,17031830900
Sprocket and Stone,1013,E 53rd St,,,Hyde Park,Chicago,60615,Active,Retail,Pets,No,2020,,773-966-4777,,POINT(-87.6006858 41.7992025),-87.6006858,41.7992025,,17031410600
Golden's Tropical World,8611,S Ashland Ave,,,Auburn Gresham,Chicago,60620,Active,Retail,Pets,No,2020,,773-239-8809,,POINT(-87.6628524 41.7371547),-87.6628524,41.7371547,,17031711100
Petco,4039,W Diversey Ave,,,Logan Square,Chicago,60639,Active,Retail,Pets,No,2020,,773-687-0488,,POINT(-87.7284178413624 41.9316837705047),-87.72841784,41.93168377,,17031220702
Jules Pet Shop,2214,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Retail,Pets,No,2020,,773-342-7149,,POINT(-87.6943165948246 41.9210019228588),-87.69431659,41.92100192,,17031221400
Indio Juan Diego,4751,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Retail,Crafts,No,2020,,773-751-8469,,POINT(-87.7278772 41.9679133),-87.7278772,41.9679133,,17031140601
Midwest Airbrush Supply,3323,W Diversey Ave,,,Logan Square,Chicago,60647,Active,Retail,Crafts,No,2020,,872-829-2275,,POINT(-87.7108410002714 41.9319219829969),-87.710841,41.93192198,,17031220602
Embroidery by Lepe,3827,S Archer Ave,,,Brighton Park,Chicago,60632,Active,Retail,Crafts,No,2020,,773-247-0900,,POINT(-87.687908 41.8237559),-87.687908,41.8237559,www.lepeservices.com,17031580100
Crafts by Claudia,4300,S Archer Ave,,,Brighton Park,Chicago,60632,Unknown,Retail,Crafts,No,2020,Number disconnected,773-247-4387,,POINT(-87.7026549 41.8152737),-87.7026549,41.8152737,,17031580502
Jo-Ann Fabrics & Crafts,2639,N Elston Ave,,,Logan Square,Chicago,60647,Active,Retail,Crafts,No,2020,,773-227-7874,,POINT(-87.6825166 41.9302595),-87.6825166,41.9302595,joann.com,17031830900
Bill Dougherty Studio,1907,N Mendell St,Ste 201,,Logan Square,Chicago,60642,Active,Retail,Crafts,Yes,2020,,312-208-5190,,POINT(-87.6651649 41.9172678),-87.6651649,41.9172678,,17031832300
Accentric Custom Framing,2100,N Hoyne Ave,APT 1f,,Logan Square,Chicago,60647,Active,Retail,Crafts,No,2020,,773-348-7800,,POINT(-87.6803654 41.9201145),-87.6803654,41.9201145,,17031832200
Botanica Senora Lulu,2610,W Fullerton Ave,,,Logan Square,Chicago,60647,Out of Business,Retail,Crafts,No,2020,,773-342-5463,,POINT(-87.6930816 41.9250717),-87.6930816,41.9250717,,17031220300
Printed Canvas,4340,N Kenmore Ave,,,Uptown,Chicago,60613,Active,Retail,Crafts,Yes,2020,,773-325-9365,,POINT(-87.6562874656054 41.9610877230438),-87.65628747,41.96108772,printedcanvas.com,17031032100
She Art,1519,W Foster Ave,,,Uptown,Chicago,60640,Out of Business,Retail,Crafts,No,2020,,773-266-6265,,POINT(-87.6686707022711 41.9761240384331),-87.6686707,41.97612404,,17031031000
Joyce Polance,1802,W Berteau Ave,,,Uptown,Chicago,60613,Active,Retail,Crafts,Yes,2020,,708-669-8105,,POINT(-87.6708240682117 41.9630131154069),-87.67082407,41.96301312,,17031031900
Iloilo Custom Framing,850,W Argyle St,,,Uptown,Chicago,60640,Moved,Retail,Crafts,No,2020,"Location: 1478 W Beewyn Ave, Chicago, IL 60640
Number: 773-784-3962
Place Status: Active",773-334-2844,,POINT(-87.6521739442738 41.973360504322),-87.65217394,41.9733605,,17031031300
Laurie Sherman Design,4520,N Hermitage Ave,,,Uptown,Chicago,60640,Active,Retail,Crafts,Yes,2020,,773-907-9799,,POINT(-87.6724974400415 41.96405607805),-87.67249744,41.96405608,,17031031900
Concept in Design,5408,W Madison St,,,Austin,Chicago,60644,Active,Retail,Crafts,No,2020,,773-626-3958,,POINT(-87.7605916 41.8805085),-87.7605916,41.8805085,,17031251900
Michael's,5104,S Lake Park Ave,,,Hyde Park,Chicago,60615,Active,Retail,Crafts,No,2020,,773-717-5697,,POINT(-87.5880452 41.8021603),-87.5880452,41.8021603,Locations.micheals.com,17031410100
Stitches With Style,4425,S Archer Ave,A2,,Brighton Park,Chicago,60632,Unknown,Retail,Crafts,No,2020,Disconnected Number. Unable to find anything more online. 07/21/2020.,872-444-5141,Sticheswithstylellc@gmail.com,POINT(-87.7061579 41.8127039),-87.7061579,41.8127039,,17031580400
Leather Goods,4314,W McLean Ave,,,Hermosa,Chicago,60639,Unknown,Retail,Crafts,Yes,2020,Left a voicemail but no response. No  web presence.,773-486-1552,,POINT(-87.7345681 41.9181699),-87.7345681,41.9181699,,17031200401
The Great Frame Up,1418,E 53rd St,4,,Hyde Park,Chicago,60615,Active,Retail,Crafts,No,2020,,773-752-2020,,POINT(-87.5911268 41.7999386),-87.5911268,41.7999386,Chicago.thegreatfameup.com,17031410800
Toys Et Cetera,1502,E 55th St,,,Hyde Park,Chicago,60615,Active,Retail,Toys,No,2020,,773-324-6039,,POINT(-87.5886529 41.7954417),-87.5886529,41.7954417,,17031410800
Gamestop,1520,N Cicero Ave,,,Austin,Chicago,60651,Out of Business,Retail,Other,No,2020,,773-342-6727,,POINT(-87.7466611 41.9084605),-87.7466611,41.9084605,,17031250800
Nakama Toys,2504,N California Ave,,,Logan Square,Chicago,60647,Active,Retail,Toys,No,2020,,773-227-3395,,POINT(-87.6976205 41.9268427),-87.6976205,41.9268427,nakamatoys.com,17031220400
Inflatable Reality,2020,N California Ave,,,Logan Square,Chicago,60647,Active,Retail,Toys,No,2020,,404-281-4282,,POINT(-87.697631 41.9181135),-87.697631,41.9181135,,17031221300
Pejmd,4946,N Sheridan Rd,,,Uptown,Chicago,60640,Out of Business,Retail,Toys,No,2020,,773-668-2917,,POINT(-87.6549747314296 41.9727102620004),-87.65497473,41.97271026,,17031031200
Citizen Skate Shop,924,W Wilson Ave,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,773-751-5809,james@citizenskateshop.com,POINT(-87.6532660216731 41.9655330256809),-87.65326602,41.96553303,citizenskateshop.com,17031031501
Wilson Yards,1354,W Wilson Ave,,,Uptown,Chicago,60640,Active,Retail,Toys,No,2020,,773-561-2406,,POINT(-87.6642335862146 41.9653888874428),-87.66423359,41.96538889,,17031031700
Toy De Jour,2064,N Western Ave,,,Logan Square,Chicago,60647,Active,Retail,Toys,No,2020,By appointment only (due to COVID),773-217-9089,,POINT(-87.6878022 41.9194532),-87.6878022,41.9194532,www.toydejour.com/store/c1/Features_Products.html,17031221500
Play,3109,W Logan Blvd,,,Logan Square,Chicago,60647,Active,Retail,Toys,No,2020,,773-227-6504,,POINT(-87.7052072 41.9280057),-87.7052072,41.9280057,Playtoyandbooks.com,17031220500
Looping Kite,2345,W Moffat St,,,Logan Square,Chicago,60647,Unknown,Retail,Toys,Yes,2020,Went straight to VM,773-213-9610,,POINT(-87.6865611 41.9145444),-87.6865611,41.9145444,,17031222200
The Toy Business,3109,W Logan Blvd,,,Logan Square,Chicago,60647,Moved,Retail,Toys,Yes,2020,"New Location: 2462 N Lincoln Ave
Number: No listed number 
Place status: Unknown? (Google doesnâ€™t list if place is open)",773-489-2575,,POINT(-87.7119699 41.9274836),-87.7119699,41.9274836,,17031220602
Bliss Shop,4809,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Retail,Toys,No,2020,,773-997-9238,,POINT(-87.7277691 41.9686233),-87.7277691,41.9686233,,17031140301
Get Fit Now Nutrition Club,4942,N Pulaski Rd,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-341-0330,,POINT(-87.7283723 41.9713591),-87.7283723,41.9713591,,17031140400
Daisy's Car Wash,4357,W Belmont Ave,,,Hermosa,Chicago,60641,Active,Trade Service,Vehicle services,No,2020,,773-628-7820,,POINT(-87.7368083 41.9386301),-87.7368083,41.9386301,,17031200100
Albany Park Smoke Shop,4643,N Kedzie Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,773-516-4051,,POINT(-87.7083492479465 41.9660355134956),-87.70834925,41.96603551,https://albany-park-smoke-shop.business.site/?utm_source=gmb&utm_medium=referral,17031140800
Semi Squalene,4326,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-205-1500,,POINT(-87.7364408604549 41.9681705118373),-87.73644086,41.96817051,,17031140400
Best Garage Sale,4342,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-993-0977,,POINT(-87.7372104444639 41.9681594785952),-87.73721044,41.96815948,,17031140400
Mojo Owl,3323,W Diversey Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-413-0749,,POINT(-87.7108410002714 41.9319219829969),-87.710841,41.93192198,,17031220602
The Chicago Organ Company,4200,W Diversey Ave,B3,,Hermosa,Chicago,60639,Active,Retail,Other,No,2020,,773-717-8748,,POINT(-87.7325058 41.9325162),-87.7325058,41.9325162,chicagoorgancompany.com,17031200100
United International,3911,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,773-267-8300,,POINT(-87.7262081645282 41.9682215396392),-87.72620816,41.96822154,,17031140601
Pass the Glass,3838,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,224-412-6822,,POINT(-87.7248184 41.9683863),-87.7248184,41.9683863,,17031140301
CBD Kratom,2048,N Damen Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,Un,312-874-7377,,POINT(-87.6777083154764 41.9191550468925),-87.67770832,41.91915505,,17031832200
The Bike Lane,2130,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-888-2453,,POINT(-87.692504320994 41.9199040069612),-87.69250432,41.91990401,,17031221400
Plant Shop Chicago,4601,N Elston Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,872-212-5827,,POINT(-87.7349797 41.9647638),-87.7349797,41.9647638,https:/www.plantshopchicago.com,17031140500
Senor Antonio,2540,W Fullerton Ave,,,Logan Square,Chicago,60647,Unknown,Retail,Other,No,2020,Phone number is incorrect and canâ€™t find other contact info,312-927-3117,,POINT(-87.6917485 41.9251035),-87.6917485,41.9251035,,17031830900
Magdalena's,4310,S Archer Ave,,,Brighton Park,Chicago,60632,Unknown,Retail,Other,No,2020,"""not open yet call back in a month """,224-775-7583,,POINT(-87.7026946056595 41.8150779345359),-87.70269461,41.81507793,,17031580502
Disco City,2630,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,Temp closed.,773-486-1495,,POINT(-87.7083533424675 41.9296188939352),-87.70835334,41.92961889,,17031220602
Sewing Machines & Supply,4145,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-282-8880,,POINT(-87.7323253 41.9679631),-87.7323253,41.9679631,,17031140500
Aras Dulce Michocan,3447,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,872-303-6053,,POINT(-87.7151617 41.968297),-87.7151617,41.968297,http://www.aras-dulce-MichoacÃ¡n.business.site,17031140701
Datt Express,3147,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,888-320-0430,,POINT(-87.7079497 41.9682733),-87.7079497,41.9682733,,17031140800
Fitness Factory,2599,N Elston Ave,,,Logan Square,Chicago,60647,Active,Personal Service,Other,No,2020,,,,POINT(-87.6826671757449 41.9287213683442),-87.68266718,41.92872137,fitnessfactory.com,17031830900
Aquae Sulis,2211,N Elston Ave,100,,Logan Square,Chicago,60614,Active,Retail,Other,Yes,2020,,773-772-7272,,POINT(-87.6724627542917 41.92164854872),-87.67246275,41.92164855,,17031832300
Smoke Station,2627,N Kedzie Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,Temp closed.,773-697-8760,,POINT(-87.7073648 41.9293194),-87.7073648,41.9293194,,17031220500
Julian's Reef Aquarium,2438,N Lawndale Ave,,,Logan Square,Chicago,60647,Out of Business,Retail,Other,No,2020,,773-738-3953,,POINT(-87.7197765 41.9257917),-87.7197765,41.9257917,,17031220701
Zen Technologies,1939,N Kimball Ave,,,Logan Square,Chicago,60647,Unknown,Retail,Electronics & appliances,Yes,2020,"no web presence in chicago, no answer to phone",917-532-7825,,POINT(-87.7115465 41.916783),-87.7115465,41.916783,,17031222700
Fitness Factory Outlet,2228,N Elston Ave,,,Logan Square,Chicago,60614,Active,Retail,Other,No,2020,,773-395-4100,,POINT(-87.6737952 41.9220831),-87.6737952,41.9220831,fitnessfactory.com,17031832300
Global Medical Products,2211,N Elston Ave,Ste 300,,Logan Square,Chicago,60614,Active,Retail,Other,Yes,2020,,630-521-9545,,POINT(-87.6723672 41.9220945),-87.6723672,41.9220945,globalmedicalproducts.net,17031832300
Neapolitans,1825,N Francisco Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,773-227-7159,,POINT(-87.6989592 41.9146338),-87.6989592,41.9146338,,17031222500
Artumie Candle Studio,1930,N Fairfield Ave,APT 2r,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,202-669-5399,,POINT(-87.6962642 41.9165559),-87.6962642,41.9165559,,17031832400
Purmedica Nutritional Science,2545,W Diversey Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,312-994-2388,,POINT(-87.6921993 41.9316015),-87.6921993,41.9316015,,17031830900
Viking Ski Shop,3422,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-276-0732,,POINT(-87.7130886 41.9249102),-87.7130886,41.9249102,,17031220601
Alonas Dream Records,2637,W Homer St,APT 1f,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,773-259-5465,,POINT(-87.6937896 41.9164291),-87.6937896,41.9164291,,17031832400
Dragon Drones,2512,W Lyndale St,,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,208-360-2659,,POINT(-87.6899438 41.9226635),-87.6899438,41.9226635,,17031221500
Jmsan Enterprises,2337,W Wolfram St,APT 311,,Logan Square,Chicago,60618,Unknown,Retail,Other,Yes,2020,Number listed is not associated with business,312-659-3449,,POINT(-87.6865022 41.9328805),-87.6865022,41.9328805,,17031830900
Modern Vapor,2344,W Wolfram St,G,,Logan Square,Chicago,60618,Unknown,Retail,Other,Yes,2020,Phone number has been disconnected,773-276-6211,,POINT(-87.686938 41.933473),-87.686938,41.933473,,17031830900
Aabbitt Adhesives,2403,N Oakley Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,800-222-2488,,POINT(-87.6846933 41.9252913),-87.6846933,41.9252913,aabbitt.com,17031830900
Moca Modern Cannabis,2847,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-722-6622,,POINT(-87.6992819 41.9246128),-87.6992819,41.9246128,Moderncann.com,17031221300
Crystal Optical,3752,W Fullerton Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-252-5025,,POINT(-87.7214561 41.924747),-87.7214561,41.924747,,17031220701
Ad Medical Supply,1525,W Homer St,Ste 101,,Logan Square,Chicago,60642,Active,Retail,Other,No,2020,,773-292-1940,,POINT(-87.6661391 41.9174323),-87.6661391,41.9174323,,17031832300
Roots Smoke & Vapor,2626,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-661-6238,,POINT(-87.7082812 41.9293759),-87.7082812,41.9293759,rootssmokesshop.com,17031220602
Chicago Teacher Store,1855,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-252-8200,,POINT(-87.6845518 41.9151038),-87.6845518,41.9151038,,17031222200
Uprise,1820,N Milwaukee Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-342-7763,,POINT(-87.6841215 41.914394),-87.6841215,41.914394,upriseskateboards.com,17031222200
Rainforest Designs,4958,N Kostner Ave,,,Albany Park,Chicago,60630,Unknown,Retail,Other,Yes,2020,"No website, no social media, and no answer to second phone call.",847-707-7244,,POINT(-87.7380309611528 41.9716439999336),-87.73803096,41.971644,,17031140400
Clark Street Sports,4506,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-831-4030,,POINT(-87.7420345286936 41.9681174862677),-87.74203453,41.96811749,,17031140400
Botanical Lucero,4644,N Kedzie Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,773-463-6840,,POINT(-87.7084489357902 41.9660175747746),-87.70844894,41.96601757,,17031140701
Fragance Crafters,3234,W Lawrence Ave,,,Albany Park,Chicago,60625,Moved,Retail,Other,No,2020,Moved to 5220 S Pulaski Rd Chicago IL 60632. Same phone number.,773-574-6711,,POINT(-87.7099005001016 41.968467511652),-87.7099005,41.96846751,https:/fragrancecrafters.com,17031140200
Feed Earth Now,4544,N Keystone Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,Yes,2020,,312-952-1903,,POINT(-87.7291598848214 41.9638124074863),-87.72915988,41.96381241,,17031140500
Isovape Corporation,4926,N Avers Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,Yes,2020,,773-501-4524,,POINT(-87.7245094359529 41.9709322454388),-87.72450944,41.97093225,,17031140302
Lovers Playground,3901,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,773-588-9787,,POINT(-87.7258709998526 41.9682305397479),-87.725871,41.96823054,,17031140601
Crawford Material,3949,W Palmer St,,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,773-252-1188,,POINT(-87.7263012 41.9204743),-87.7263012,41.9204743,,17031220901
Cage and Aquarium Productions,3408,W Parker Ave,2,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,312-725-2243,,POINT(-87.7126332 41.9312402),-87.7126332,41.9312402,,17031220602
Primrose Candy,4111,W Parker Ave,,,Logan Square,Chicago,60639,Active,Retail,Other,Yes,2020,,800-268-9522,,POINT(-87.7298788 41.9306373),-87.7298788,41.9306373,,17031220702
Ameer General Merchandise,3444,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,773-539-3050,,POINT(-87.7151520000486 41.9684045117665),-87.715152,41.96840451,,17031140200
Apogee Stores,4737,N St Louis Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,Yes,2020,,847-971-5577,,POINT(-87.7157450381548 41.9676658634512),-87.71574504,41.96766586,,17031140701
Ace Sign,4518,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-545-1900,,POINT(-87.7422910282499 41.9681075116581),-87.74229103,41.96810751,,17031140400
AP Trading,3751,W Lawrence Ave,,,Albany Park,Chicago,60625,Active,Retail,Other,No,2020,,773-818-1326,,POINT(-87.7226523227149 41.9682199753901),-87.72265232,41.96821998,,17031140602
Chicago Sign Systems,4200,W Diversey Ave,31,,Hermosa,Chicago,60639,Active,Trade Service,Media,No,2020,,773-342-2112,,POINT(-87.68729 41.9229998),-87.68729,41.9229998,chicagosignsystems.com,17031221600
Neon Shop Fishtail,2247,N Western Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-227-0303,,POINT(-87.6872419 41.9230667),-87.6872419,41.9230667,,17031221600
Maria Artisan Imports,2643,N Whipple St,2,,Logan Square,Chicago,60647,Active,Retail,Other,Yes,2020,,773-857-0779,,POINT(-87.7034248 41.9299475),-87.7034248,41.9299475,,17031220500
McCathay Timber,1529,W Armitage Ave,A,,Logan Square,Chicago,60642,Active,Retail,Other,No,2020,,773-227-1171,,POINT(-87.6666289 41.9179147),-87.6666289,41.9179147,mccathaytimber.com,17031832300
Saint Lucia's Smoke Shop,2075,N Western Ave,,,Logan Square,Chicago,60647,Active,Retail,Other,No,2020,,773-360-7582,,POINT(-87.6871402 41.9197393),-87.6871402,41.9197393,saintlucias.com,17031221600
The Wooden Spoon,5047,N Clark St,,,Uptown,Chicago,60640,Active,Childcare and Schools,Trade school,No,2020,,773-293-3190,,POINT(-87.6680950411758 41.9737965191097),-87.66809504,41.97379652,,17031031100
C6 Agility,1415,W Winona St,,,Uptown,Chicago,60640,Active,Retail,Other,Yes,2020,Online only. Soccer shin guards.,734-548-0008,,POINT(-87.6653732204251 41.9753364958073),-87.66537322,41.9753365,,17031031100
Dispensary 33,5001,N Clark St,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,312-620-3333,,POINT(-87.6678669885696 41.9726131604278),-87.66786699,41.97261316,,17031031100
Medford Aero Arms,4541,N Ravenswood Ave,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,773-961-7686,,POINT(-87.674046567681 41.9645878637762),-87.67404657,41.96458786,,17031031900
Park Bait,600,W Montrose Ave,,,Uptown,Chicago,60613,Active,Retail,Other,No,2020,Temp Closed,773-271-2838,,POINT(-87.6469340487636 41.9619540835299),-87.64693405,41.96195408,parkbaitshop.com,17031031400
Early To Bed,5044,N Clark St,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,773-271-1219,,POINT(-87.6681564913311 41.9737475066812),-87.66815649,41.97374751,,17031031000
AT&T,1724,W Lawrence Ave,,,Uptown,Chicago,60640,Active,Retail,Phones,No,2020,,312-586-7110,,POINT(-87.6721313603936 41.968873507564),-87.67213136,41.96887351,,17031031000
Play Soccer,4717,N Clark St,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,773-561-3465,,POINT(-87.6671655839957 41.9675949739915),-87.66716558,41.96759497,,17031031700
Sara Callanan,4334,N Clarendon Ave,,,Uptown,Chicago,60613,Unknown,Retail,Other,No,2020,I was able to find this business on a directory but the entry wasnâ€™t recent and had no details. I didnâ€™t get an answer to my phone call.,312-656-5914,,POINT(-87.6499004511218 41.9612757168593),-87.64990045,41.96127572,,17031032100
Smoke Dreams,4560,N Broadway,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,773-754-0734,,POINT(-87.6570097021107 41.9646096202313),-87.6570097,41.96460962,,17031830700
Thailand Food Corp Thailand Plaza,4821,N Broadway,,,Uptown,Chicago,60640,Active,"Wholesale, storage and transit",Wholesalers,No,2020,,773-728-1199,,POINT(-87.6596151012006 41.9697403105259),-87.6596151,41.96974031,,17031031200
Masonry Restoration GMC,4334,N Clarendon Ave,,,Uptown,Chicago,60613,Active,Trade Service,Other repair,No,2020,,773-415-9900,,POINT(-87.6499004511218 41.9612757168593),-87.64990045,41.96127572,,17031032100
Lawrence House Pharmacy,1026,W Lawrence Ave,,,Uptown,Chicago,60640,Moved,Retail,Drug,No,2020,Address listed as 1001 W Lawrence Ave.,773-561-2288,,POINT(-87.655926154215 41.9691545091895),-87.65592615,41.96915451,,17031031200
Roots Smoke & Vapor Shop,4006,N Sheridan Rd,,,Uptown,Chicago,60613,Active,Retail,Other,No,2020,,773-327-6666,,POINT(-87.6545769250824 41.954778031694),-87.65457693,41.95477803,,17031032100
JT Productions,4200,N Marine Dr,,,Uptown,Chicago,60613,Active,Retail,Other,No,2020,,708-807-8177,,POINT(-87.6465190235091 41.9585343304974),-87.64651902,41.95853433,,17031031400
Koval Distilery,5121,N Ravenswood Ave,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,312-878-7988,,POINT(-87.6743761038632 41.9750192831097),-87.6743761,41.97501928,,17031031000
Loren Girovich Carline Leathers,4717,N Clark St,,,Uptown,Chicago,60640,Unknown,Retail,Other,No,2020,Number is disconnected,773-334-1444,,POINT(-87.6671655839957 41.9675949739915),-87.66716558,41.96759497,,17031031700
VR One Enterprises,4233,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,"Wholesale, storage and transit",Wholesalers,No,2020,,773-267-1491,,POINT(-87.7344068752257 41.9680818477702),-87.73440688,41.96808185,,17031140500
At Your Service,4541,N Ravenswood Ave,,,Uptown,Chicago,60640,Active,Retail,Other,No,2020,,773-334-7774,,POINT(-87.674046567681 41.9645878637762),-87.67404657,41.96458786,,17031031900
World Tree Healing,4858,N Tripp Ave,,,Albany Park,Chicago,60630,Moved,Retail,Other,Yes,2020,actual address is 4533 N Kedzie place status is active TEMP CLOSED,773-273-9718,,POINT(-87.7342699360437 41.9698426587832),-87.73426994,41.96984266,https://www.worldtreehealing.com,17031140400
World Trophy,4322,W Lawrence Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-777-1392,,POINT(-87.7364242613851 41.9682141425173),-87.73642426,41.96821414,,17031140400
Weezers Tabacco,4415,N Bernard St,,,Albany Park,Chicago,60625,Unknown,Retail,Other,Yes,2020,"Person who answered first call said it was the wrong number when calling/it is possibly a home, not the business , employee at other location of this store(630 620 9956) does not know if there ever was a location on Bernard, Google Maps shows address on Bernard as a residential home, not a commercial store. 7/14/2020, first call made at 10:25, second at 10:30.",630-335-2927,,POINT(-87.7143465130727 41.9616353606812),-87.71434651,41.96163536,,17031140702
Extra Space Storage,4995,N Elston Ave,,,Albany Park,Chicago,60630,Active,Retail,Other,No,2020,,773-736-5800,,POINT(-87.7456962414547 41.971591864195),-87.74569624,41.97159186,,17031140400
Hunt Shop,4022,N Clarendon Ave,,,Uptown,Chicago,60613,Unknown,Retail,Other,Yes,2020,"Number listed kept ringing for a long time, never reached voicemail (waited 2 mins)",773-574-8740,,POINT(-87.6497288702076 41.9553082982204),-87.64972887,41.9553083,,17031032100
Jeannan's,4970,N Marine Dr,,,Uptown,Chicago,60640,Active,Retail,Other,Yes,2020,,773-312-0823,,POINT(-87.6508063086611 41.9726468662597),-87.65080631,41.97264687,,17031031300
Glassyvapes,1530,W Montrose Ave,,,Uptown,Chicago,60613,Active,Retail,Other,No,2020,,224-935-5685,,POINT(-87.6687839995914 41.9616304563668),-87.668784,41.96163046,,17031031900
